uid,species,gene_names,description,term_ids,gene_display_name,color
5666,ath,AT5G48880|KAT5|PKT1|PKT2|PEROXISOMAL-3-KETO-ACYL-COA THIOLASE 1|3-KETO-ACYL-COENZYME A THIOLASE 5|peroxisomal 3-keto-acyl-CoA thiolase 2|K24G6.22|K24G6_22|3-KETO-ACYL-COA THIOLASE|PEROXISOMAL 3-KETO-ACYL-COA THIOLASE 2|AT5G48880.1|AT5G48880.2|AT5G48880.3,No Visible Phenotype.,GO:0005777|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001170,AT5G48880,#DAF7A6
7340,ath,HAP9,"Distorted segregation, reduced transmission through the male gametophyte, does not appreciably affect the female gametophyte; strong, but not complete impact on pollen function; short pollen tube growth, failing to exit the style.",GO:0008150|GO:0003674|GO:0005575,HAP9,#DAF7A6
7451,ath,PDE198,pigment defective embryo; albino embryo.,GO:0005575|GO:0003674|GO:0008150,PDE198,#DAF7A6
4124,ath,AT1G32900|GBSS1|granule bound starch synthase 1|F9L11.8|F9L11_8,"Decreased effective quantum yield of photosystem II, pale green plants, reduced growth rate.",GO:0005515|GO:0009507|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT1G32900,#DAF7A6
6304,ath,EMB1518,embryo defective; terminal embryo phenotype: cotyledon stage.,GO:0003674|GO:0005575|GO:0008150,EMB1518,#DAF7A6
5374,ath,AT5G01040|LAC8|laccase 8|F7J8.20|F7J8_20,early flowering.,GO:0010228|GO:0046688|PO:0009001|PO:0009005|PO:0009046|PO:0000293,AT5G01040,#DAF7A6
6235,ath,EMB1438,embryo defective; terminal embryo phenotype: globular stage.,GO:0005575|GO:0003674|GO:0008150,EMB1438,#DAF7A6
1440,ath,At4g28580|MGT5|AT4G28580|ATMGT5|MRS2-6|ARABIDOPSIS THALIANA MAGNESIUM TRANSPORT 5|magnesium transport 5|T5F17.30|T5F17_30,Male gametophyte defective.,GO:0009555|GO:0015095|GO:0005739|PO:0009031|PO:0009032|PO:0009046|PO:0025022|PO:0000084|PO:0009066|PO:0025281|PO:0020048|PO:0025543|PO:0007611|PO:0007616,At4g28580,#DAF7A6
896,ath,At4g21800|QQT2|AT4G21800|quatre-quart2|F17L22.260|F17L22_260,Embryo defective-Preglobular. embryo defective.,GO:0005874|GO:0051301|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At4g21800,#DAF7A6
1099,ath,At1g68530|CER6|AT1G68530|AT2G47300|AT5G44110|KCS6|CUT1|POP1|G2|AtCUT1|CUTICULAR 1|POLLEN-PISTIL INCOMPATIBILITY 1|ECERIFERUM 6|3-ketoacyl-CoA synthase 6|T26J14.10|T26J14_10|ABCI21|ATPOP1|ATNAP2|ARABIDOPSIS THALIANA NON-INTRINSIC ABC PROTEIN|ATP-binding cassette A21|MLN1.3|MLN1_3|similar to yeast POP1,"Bright green inflorescence stems. Glossy inflorescence stems. Male sterile unless grown under high humidity. very bright green stems and siliques, complete absence of lobed plates and tube-shaped structures on the epicuticular wax layer, reduced fertility under conditions of low humidity, reduced plant height, phenotype similar to cer1 and cer3; club-like siliques. Dominant to cer6-2 but recessive to the wt; altered surface wax; differentially affected long-chain lipid content on the surface of stems and pollen; partially restores pollen coat lipids but does not rescue the stem wax defect of cer6-2; visually bright green stems and siliques: no abundant epicuticular wax is apparent, but slight restoration of wax structures relative to cer6-2 stems and siliques, exhibiting fewer lipid structures on stems and siliques; fertile plants with pollen grains completely surrounded by mophologically and functionally normal pollen coat  containing many lipid structures even with C29 and C30 lipids in less amounts than wt; same as cut1 (altered epicuticular wax accumulation). bright green stem and siliques due to abnormal wax layer (deficient in long-chain lipids); pollen lacking tryphine (extracellular coat) and fails to germinate because it does not absorb water from the stigma, yet germinates in vitro; conditional male-sterile, high humidity required for pollen hydration and fertilization.",GO:0009409|GO:0009826|GO:0010025|GO:0009416|GO:0000038|GO:0005783|GO:0042335|GO:0006364|GO:0010218|GO:0010114|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0006504|PO:0009001|PO:0009066|PO:0009067|PO:0009073|PO:0020148|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At1g68530,#DAF7A6
3971,ath,AT1G09680|AT1G09680.1|F21M12.7|F21M12_7,Both heterozygoytes and homozygotes have a WT phenotype.,GO:0008150|GO:0005739|GO:0003674|PO:0000037|PO:0009009|PO:0009010|PO:0009031|PO:0009046|PO:0009047|PO:0009052|PO:0025022|PO:0000293|PO:0001078|PO:0001081|PO:0004507|PO:0007611|PO:0007616|PO:0007057,AT1G09680,#DAF7A6
7199,ath,EMB2954,embryo defective; terminal embryo phenotype: cotyledon stage.,GO:0003674|GO:0008150|GO:0005575,EMB2954,#DAF7A6
7084,ath,EMB2602,embryo defective; terminal embryo phenotype: variable.,GO:0003674|GO:0008150|GO:0005575,EMB2602,#DAF7A6
5056,ath,AT3G62810|AT3G62810.1|F26K9.240,"Downward-curled leaf margins. In leaves, TAS3 ta-siRNAs were below detectable levels, whereas TAS1 and TAS2 ta-siRNAs were detectable. By contrast, in flowers, levels of TAS3 ta-siRNA remained unchanged, whereas levels of TAS1 and TAS2 ta-siRNAs were reduced.",PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT3G62810,#DAF7A6
4670,ath,AT2G46450|CNGC12|ATCNGC12|cyclic nucleotide-gated channel 12|F11C10.14,"Mutants carrying a semidominant, conditional lethal mutation confer constitutive expression of the pathogenesis-related (PR) genes PR-1, PR-2, PR-5 and the defensin gene PDF1.2, display spontaneous lesion formation, elevated levels of salicylic acid (SA) and heightened resistance to Peronospora parasitica Emco5. It induces strong resistance to virulent  bacterial and oomycete pathogens in an EDS1-, PAD4-, and NDR1-dependent manner via cross-regulation.",GO:0005886|GO:0005261|GO:0009620|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT2G46450,#DAF7A6
1461,ath,At5g20350|TIP1|AT5G20350|TIP GROWTH DEFECTIVE 1|F5O24.240|F5O24_240|AT5G20350.1,Branched root hairs. Early senescence. Late flowering. Male gametophyte defective. Reduced male fertility. Semi-dwarf. Short root hairs. Small rosette. Abnormal growth of root-hairs and pollen tubes; root hairs are shorter than those of the wt and branched at their base; pollen tubes are shorter and grow more slowly than wt pollen tubes; reduced seed set.,GO:0005802|GO:0000035|GO:0009651|GO:0005794|GO:0005768|GO:0009932|GO:0016417|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009049|PO:0005052|PO:0000005|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,At5g20350,#DAF7A6
3888,ath,ARC7,pale first leaves in early seedling growth; mean chloroplast number per cell = 82 (cf. wild type 83); mean chloroplast size = 40µm2 (cf. wild type 53µm2).,GO:0003674|GO:0005575,ARC7,#DAF7A6
4747,ath,AT3G07568|AT3G07568.1,No visible phenotype.,GO:0003674|GO:0008150|PO:0000293,AT3G07568,#DAF7A6
7162,ath,EMB2696,embryo defective; terminal embryo phenotype: globular stage.,GO:0003674|GO:0005575|GO:0008150,EMB2696,#DAF7A6
2579,ath,At4g24280|cpHsc70-1|AT4G24280|chloroplast heat shock protein 70-1|T22A6.110|T22A6_110|AT4G24280.1,Dwarf. Malformed leaves. Short roots under vertical growth. Variegated cotyledons. Varigated cotyledons; irregular leaf margins and small lesions at early vegetative stages; reduced root growth; growth retardation; small plants.,GO:0009409|GO:0009570|GO:0009579|GO:0009941|GO:0045036|GO:0005739|GO:0005515|GO:0009507|GO:0005524|GO:0005634|GO:0046686|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000005|PO:0006339|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131,At4g24280,#DAF7A6
7014,ath,EMB2503,embryo defective; terminal embryo phenotype: cotyledon stage.,GO:0008150|GO:0003674|GO:0005575,EMB2503,#DAF7A6
7428,ath,PDE157,pigment defective embryo; albino embryo.,GO:0005575|GO:0008150|GO:0003674,PDE157,#DAF7A6
6347,ath,EMB1567,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0008150|GO:0003674|GO:0005575,EMB1567,#DAF7A6
2101,ath,"At1g07530|SCL14|AT1G07530|ATGRAS2|GRAS2|SCARECROW-like 14|ARABIDOPSIS THALIANA GRAS (GAI, RGA, SCR) 2|GRAS (GAI, RGA, SCR) 2|F22G5.9|F22G5_9","Sensitive to INA (functional analog of SA). Sensitive to TIBA (inhibitor of auxin transport). The levels of transcripts for several genes, such as At3g28740 (CYP81D11) and At5g16980 (NADP-dependent oxidoreductase) are altered in scl14 mutant plants. Some of these genes have as-1-like elements in their promoters.",GO:0045893|GO:0005634|GO:0009410|GO:0005829|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At1g07530,#DAF7A6
5264,ath,AT4G26110|NAP1;1|ATNAP1;1|nucleosome assembly protein1;1|ARABIDOPSIS THALIANA NUCLEOSOME ASSEMLY PROTEIN 1;1|F20B18.220|F20B18_220|AT4G26110.1,Increased sensitivity to UV-C radiation.,GO:0005737|GO:0005634|GO:0006281|GO:0005886|GO:0005829|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000005|PO:0000003|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT4G26110,#DAF7A6
334,ath,At4g20910|CRM2|AT4G20910|HEN1|HUA ENHANCER 1|CORYMBOSA 2|T13K14.70|T13K14_70|AT4G20910.1,"Corymb-like inflorescences. Increased cauline leaf number. Increased flower growth rate. Late flowering. Reduced fertility. Short stamens. Plants exhibit pleiotropic phenotypes; most aerial organs are reduced in size: leaves and floral organs are small and plants are shorter compared to wild-type; small cells in mature leaves and petals; rosette leaves are pointed at the apical end and the edges tend to curl upward; delayed flowering; high flower density in inflorescence; reduced internode elongation in the stems; increased number of coflorescences; under long-day conditions (16 hour light/8 hour darkness), plants produce more cauline leaves with axillary inflorescences before producing single flowers on the inflorescence stems than wild type plants; reduced male and female fertility; anthers from early-arising flowers often fail to dehisce, although late-arising flowers do produce pollen, the amount of pollen produced appears to be greatly reduced; reduced seed set in siliques. Slight increase in rosette leaf number. Compact inflorescence. Slight decrease in rosette leaf number.",GO:0005737|GO:0035279|GO:0010589|GO:0035196|GO:0010093|GO:0009616|GO:0030422|GO:0010305|GO:0008173|GO:0009909|GO:0005634|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000005|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At4g20910,#DAF7A6
4576,ath,AT2G34860|EDA3|PSA2|embryo sac development arrest 3|F19I3.9|F19I3_9,Lethal when grown in soil. Pale yellow leaves and severely retarded growth.,GO:0009535|GO:0009561|GO:0009507|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0009001|PO:0025034|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT2G34860,#DAF7A6
813,ath,At3g55620|EMB1624,Embryo defective-Globular.,,At3g55620,#DAF7A6
4678,ath,AT2G47270|UPB1|UPBEAT1|T8I13.11,longer root than the wild type; significant increase in cortex cell number indicating enlargement of the meristem.,GO:0003700|GO:2000280|PO:0009005|PO:0009009|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009046|PO:0009047|PO:0025022|PO:0025281|PO:0000084|PO:0001185|PO:0007115|PO:0007611|PO:0007616,AT2G47270,#DAF7A6
2389,ath,At3g50820|PsbO2,Bent leaf margins. Dark green leaves. Long leaves. Slow growth.,,At3g50820,#DAF7A6
1251,ath,At1g59640|BPE|AT1G59640|BPEp|ZCW32|BPEub|BIG PETAL|BIG PETAL UB|BIG PETAL P|T30E16.21|T30E16_21,Large petals. Larger petal size as a result of increased petal cell size.,GO:0048446|PO:0000037|PO:0009009|PO:0009010|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0025022|PO:0025281|PO:0009025|PO:0000293|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007611|PO:0007616,At1g59640,#DAF7A6
1556,ath,At1g17220|FUG1|AT1G17220|fu-gaeri1|F20D23.8|F20D23_8,Embryo defective. Variegated seedlings. Double mutant suppresses leaf variegation due to  var2 loss of function. First leaves are smaller with reduced cell size. Segregates for embryo lethal (3wt:1emb). Homozygotes are not viable. Double mutant suppresses leaf variegation due to var2 loss of function. First leaves are smaller with reduced cell size.,GO:0009941|GO:0006413|GO:0009507|GO:0009570|GO:0003743|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At1g17220,#DAF7A6
205,ath,At4g16845|VRN2|AT4G16845|REDUCED VERNALIZATION RESPONSE 2,Altered vernalization response.,GO:0010048|GO:0005677|GO:0009409|GO:0006349|GO:0005634|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016,At4g16845,#DAF7A6
5497,ath,AT5G16770|MYB9|AtMYB9|myb domain protein 9|F5E19.110|F5E19_110,No obvious morphological phenotype.,GO:0009737|PO:0009005|PO:0020100|PO:0000293,AT5G16770,#DAF7A6
5217,ath,AT4G21480|STP12|sugar transporter protein 12|F18E5.100|F18E5_100,No visible phenotype. No obvious visible phenotype.,GO:0009624|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0005027|PO:0000293|PO:0020003|PO:0020041|PO:0020102|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT4G21480,#DAF7A6
592,ath,At3g17390|MTO3|AT3G17390|SAMS3|MAT4|AtSAMS3|METHIONINE OVER-ACCUMULATOR 3|S-ADENOSYLMETHIONINE SYNTHETASE 3|METHIONINE ADENOSYLTRANSFERASE 4|MGD8.26|S-ADENOSYLMETHIONINE SYNTHETASE|AT3G17390.1,Elevated methionine levels. Excessive methionine.,GO:0006555|GO:0005886|GO:0005618|GO:0009809|GO:0009409|GO:0016020|GO:0005730|GO:0009506|PO:0009025|PO:0009047|PO:0000282|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000005|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131|PO:0001016|PO:0001017,At3g17390,#DAF7A6
574,ath,At5g41150|UVH1|AT5G41150|ATRAD1|RAD1|ULTRAVIOLET HYPERSENSITIVE 1|MEE6.22|MEE6_22|repair endonuclease,"Early senescence. Sensitive to ionizing radiation. Sensitive to UV light. extreme hypersensitivity of seedlings and roots to both UV-B and UV-C radiation under nonphotoreactivating conditions but intermediate hypersensitivity under photoreactivating conditions; extreme hypersensitivity of seeds to ionizing radiation; plants show chlorosis, wilting and extensive cell death following exposure of leaves to small acute fluences of UV radiation that does not affect wt plants; irradiation of seeds with gamma rays inhibits the production of the first true leaves at lower doses than required for wt plants; lacks trichomes on stems and leaves, some trichomes in leaf margins. Significant reduction of FW after treatment with cisplatin and MMC. Severe reduction in relative FW when exposed to crosslinkers cisplatin and MMC.",GO:0006289|GO:0000724|GO:0006281|GO:0009314|GO:0000014|GO:0006979|PO:0006079|PO:0009005|PO:0009025|PO:0009046|PO:0009047|PO:0000055|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At5g41150,#DAF7A6
5957,ath,EMB109,developmental arrest of mutant embryos occurs at late preglobular stage; white seeds; 22.5% mutant; 51.3% aborted seeds in top half of silique.,GO:0003674|GO:0005575,EMB109,#DAF7A6
6362,ath,EMB1584,embryo defective; terminal embryo phenotype: globular stage.,GO:0008150|GO:0005575|GO:0003674,EMB1584,#DAF7A6
5441,ath,AT5G09680|RLF|reduced lateral root formation|F17I14.130|F17I14_130,reduced lateral root formation.,GO:0005829|GO:0010311|PO:0009005|PO:0009025|PO:0009046|PO:0009047|PO:0000293,AT5G09680,#DAF7A6
4620,ath,AT2G40370|LAC5|laccase 5|T3G21.14|T3G21_14,no observable phenotype.,GO:0046688|PO:0000230|PO:0009005|PO:0009029|PO:0009030|PO:0009046|PO:0020100|PO:0025281|PO:0009001|PO:0000013|PO:0000014|PO:0000036|PO:0000054|PO:0004723|PO:0009047|PO:0009067|PO:0025166|PO:0000003|PO:0007611|PO:0007616|PO:0007131,AT2G40370,#DAF7A6
4440,ath,AT2G13790|SERK4|ATSERK4|BKK1|BAK7|SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 4|BAK1-LIKE 1|BRI1-  ASSOCIATED KINASE 7|F13J11.14|F13J11_14|AT2G13780,Rescues the cell death phenotype of bak1-3 bkk1-1 double mutant.,GO:0010200|GO:0008219|GO:0010150|GO:0009742|GO:0033612|GO:0060548|GO:1900140|GO:0005886|PO:0000013|PO:0000014|PO:0009001|PO:0009005|PO:0009046|PO:0000293,AT2G13790,#DAF7A6
6628,ath,EMB1907,embryo defective; terminal embryo phenotype: preglobular/globular stage.,GO:0003674|GO:0005575|GO:0008150,EMB1907,#DAF7A6
5930,ath,EMB1053,embryo defective; terminal embryo phenotype: preglobular/globular stage.,GO:0005575|GO:0003674|GO:0008150,EMB1053,#DAF7A6
6009,ath,EMB1159,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0003674|GO:0008150|GO:0005575,EMB1159,#DAF7A6
6238,ath,EMB1443,embryo defective; terminal embryo phenotype: cotyledon stage.,GO:0008150|GO:0005575|GO:0003674,EMB1443,#DAF7A6
3916,ath,AT1G04180|YUC9|YUCCA 9|F20D22.5|F20D22_5,Disruption of shade avoidance response reflected in failure to increase hypocotyl and petiole length under end-of-the-day far-red light treatment and under low red to far-red conditions. Reduced fertility. Reduced hypocotyl and petiole length under end-of-day far-red light treatment (EOD-FR). Slight reduction in hypocotyl length under both high and low red to far-red (R:FR) conditions.,PO:0009005,AT1G04180,#DAF7A6
462,ath,At2g30490|C4H|AT2G30490|ATC4H|CYP73A5|REF3|CINNAMATE 4-HYDROXYLASE|cinnamate-4-hydroxylase|REDUCED EPRDERMAL FLUORESCENCE 3|T6B20.16|T6B20_16|CINNAMATE-4-HYDROXYLASE|AT2G30490.1,"Dwarf. Increased branching. Indehiscent anthers. Male sterile. Thick lateral branch bases. altered phenylpropanoid metabolism; reductions in the levels of sinapoyl malate, flavonoids and  lignin; dwarf; reduced apical dominance; swellings at inflorescence nodes caused by disordered growth of cortex cells. altered phenylpropanoid metabolism; reductions in the levels of sinapoyl malate, flavonoids and  lignin; plant development comparable to wild type. accumulate decreased levels of several different classes of phenylpropanoid end-products and exhibit reduced lignin deposition and altered lignin monomer content; accumulate a novel hydroxycinnamic ester, cinnamoylmalate, which is not found in the wild type; pleiotropic phenotypes includ dwarfism, male sterility, and the development of swellings at branch junctions.",GO:0005774|GO:0005515|GO:0016710|GO:0009808|GO:0009555|GO:0040007|GO:0009416|GO:0009698|GO:0005794|GO:0009611|GO:0005783|GO:0009505|GO:0016020|GO:0042802|GO:0009506|GO:0005886|GO:0080167|GO:0032502|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0005052|PO:0000005|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131,At2g30490,#DAF7A6
2154,ath,At5g19660|S1P|AT5G19660|ATSBT6.1|ATS1P|SITE-1 protease|T29J13.80|T29J13_80,"Sensitive to lithium chloride. Sensitive to mannitol. Sensitive to potassium chloride. Sensitive to salt. s1p-3 mutants exhibit a greater inhibition of primary root elongation in response to NaCl, KCl, LiCl, and mannitol than wild-type seedlings. The salt-sensitive phenotype co-segregates with the s1p-3 T-DNA insertion, and can be partially rescued by a 35S:S1P construct. s1p-3 mutants do not show the proteolytic processing of a 4xMyc:bZIP17 protein from an 84 kD to a 46-kD protein, as observed in wild type seedlings. In addition, several salt-responsive transcripts have more than a 2.5-fold lower transcriptional response in s1p-3 mutants than in wild type seedlings.",GO:0006508|GO:0006972|GO:0005783|GO:0042538|GO:0005794|GO:0004252|GO:0004175|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000035|PO:0000036|PO:0003011|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At5g19660,#DAF7A6
